# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Sep  1 22:14:37 2021
#
# User preference: *
#
# COLUMN epic_name:      EPIC Name
# COLUMN epic_candname:  Candidate Name
# COLUMN pl_name:        Planet Name
# COLUMN k2c_refdisp:    Reference Disposition
# COLUMN k2c_reflink:    Reference Link
# COLUMN k2c_disp:       Exoplanet Archive Disposition
# COLUMN k2c_note:       Notes
# COLUMN k2_campaign:    K2 Campaign
# COLUMN k2c_recentflag: Most Recent Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_tranmid:     Transit Midpoint [days]
# COLUMN pl_trandep:     Transit Depth [percent]
# COLUMN pl_trandur:     Transit Duration [days]
# COLUMN pl_imppar:      Impact Parameter
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_ratdor:      Ratio of Distance to Stellar Radius
# COLUMN pl_ratror:      Ratio of Candidate to Stellar Radius
# COLUMN pl_rade:        Candidate Radius [Earth radii]
# COLUMN pl_radj:        Candidate Radius [Jupiter radii]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_fppprob:     False Positive Probability
# COLUMN st_plx:         Parallax [mas]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_metfe:       Stellar Metallicity [dex]
# COLUMN st_metratio:    Metallicity Ratio
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_vsini:       Rot. Velocity V*sin(i) [km/s]
# COLUMN st_kep:         Kepler-band [mag]
# COLUMN st_bj:          B-band (Johnson) [mag]
# COLUMN st_vj:          V-band (Johnson) [mag]
# COLUMN st_us:          u-band (Sloan) [mag]
# COLUMN st_gs:          g-band (Sloan) [mag]
# COLUMN st_rs:          r-band (Sloan) [mag]
# COLUMN st_is:          i-band (Sloan) [mag]
# COLUMN st_zs:          z-band (Sloan) [mag]
# COLUMN st_j2:          J-band (2MASS) [mag]
# COLUMN st_h2:          H-band (2MASS) [mag]
# COLUMN st_k2:          Ks-band (2MASS) [mag]
# COLUMN st_bmvj:        B-V (Johnson) [mag]
# COLUMN st_jmh2:        J-H (2MASS) [mag]
# COLUMN st_hmk2:        H-Ks (2MASS) [mag]
# COLUMN st_jmk2:        J-Ks (2MASS) [mag]
#
epic_name,epic_candname,pl_name,k2c_refdisp,k2c_reflink,k2c_disp,k2c_note,k2_campaign,k2c_recentflag,pl_orbper,pl_tranmid,pl_trandep,pl_trandur,pl_imppar,pl_orbincl,pl_ratdor,pl_ratror,pl_rade,pl_radj,pl_eqt,pl_fppprob,st_plx,st_dist,st_teff,st_logg,st_metfe,st_metratio,st_rad,st_vsini,st_kep,st_bj,st_vj,st_us,st_gs,st_rs,st_is,st_zs,st_j2,st_h2,st_k2,st_bmvj,st_jmh2,st_hmk2,st_jmk2
EPIC 201155177,EPIC 201155177.01,K2-42 b,CONFIRMED,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,CONFIRMED,,1,0,6.68796000,2456814.676300,,0.1267000,,,,0.03040,2.150,0.192,,5.200000e-07,,,4613.00,4.66,,,0.64,,14.632,16.096,15.023,,15.558,14.585,14.235,,12.982,12.398,12.284,1.073,0.584,0.114,0.698
EPIC 201155177,EPIC 201155177.01,K2-42 b,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,CONFIRMED,,1,0,6.68743520,2456814.676000,0.137000,0.1291667,0.0000,,,0.03239,2.790,0.249,,,,,4476.00,,,,0.69,,14.632,16.096,15.023,,15.558,14.585,14.235,,12.982,12.398,12.284,1.073,0.584,0.114,0.698
EPIC 201155177,EPIC 201155177.01,K2-42 b,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,CONFIRMED,,1,1,6.68851000,2456814.674700,0.104200,0.1350000,,,14.000000,0.03130,2.250,0.201,,,,,,,,,0.66,,14.632,16.096,15.023,,15.558,14.585,14.235,,12.982,12.398,12.284,1.073,0.584,0.114,0.698
EPIC 201160662,EPIC 201160662.01,,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,CANDIDATE,,1,1,1.53741150,2456810.497140,1.456400,0.0992000,,,3.590000,0.25900,45.000,4.000,,,,,,,,,1.60,,12.122,12.554,12.161,,12.276,12.071,12.006,,11.163,10.848,10.797,0.393,0.315,0.051,0.366
EPIC 201164625,EPIC 201164625.01,,CANDIDATE,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,CANDIDATE,,10,1,2.71189000,2457583.136200,0.020000,0.1292000,0.4300,,5.500000,0.01210,4.340,0.387,2336,,,,,,,,,,11.919,12.012,11.461,,12.104,11.858,11.767,,11.002,10.791,10.777,0.551,0.211,0.014,0.225
EPIC 201166680,EPIC 201166680.02,K2-243 b,CONFIRMED,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,CONFIRMED,,10,1,11.54182000,2457593.206200,0.016000,0.1542000,0.3900,,21.200000,0.01440,2.170,0.194,1035,,,,,,,,,,10.897,11.507,10.970,,11.044,10.848,10.857,,9.852,9.637,9.591,0.537,0.215,0.046,0.261
EPIC 201166680,EPIC 201166680.03,K2-243 c,CONFIRMED,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,CONFIRMED,,10,1,24.94598000,2457584.505000,0.019000,0.2167000,0.4000,,35.600000,0.01330,2.010,0.179,801,,,,,,,,,,10.897,11.507,10.970,,11.044,10.848,10.857,,9.852,9.637,9.591,0.537,0.215,0.046,0.261
EPIC 201166680,EPIC 201166680.01,,CANDIDATE,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,CANDIDATE,,10,1,18.10549000,2457598.193300,,,,88.945,26.263676,0.01572,2.100,0.190,,1.730000e-03,,,6213.00,4.32,0.140,[Fe/H],1.22,,10.897,11.507,10.970,,11.044,10.848,10.857,,9.852,9.637,9.591,0.537,0.215,0.046,0.261
EPIC 201176672,EPIC 201176672.02,,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,CANDIDATE,,1,1,,2456877.803800,3.060000,0.6030000,,,,0.39000,30.000,3.000,,,,,,,,,0.71,,13.980,15.355,14.318,,14.875,13.932,13.596,,12.315,11.741,11.604,1.037,0.574,0.137,0.711
EPIC 201176672,EPIC 201176672.01,,CANDIDATE,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,CANDIDATE,,1,1,79.99990000,2456877.804600,,0.4896000,,,,0.18000,10.200,0.910,,9.400000e-02,,,4542.00,4.75,,,0.51,,13.980,15.355,14.318,,14.875,13.932,13.596,,12.315,11.741,11.604,1.037,0.574,0.137,0.711
EPIC 201180665,EPIC 201180665.01,,CANDIDATE,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,CANDIDATE,,10,1,17.77297000,2457586.498600,3.662000,0.1208000,0.6800,,33.300000,0.18920,26.440,2.359,830,,,,,,,,,,13.080,13.881,13.265,,13.466,13.091,12.915,,12.008,11.686,11.650,0.616,0.322,0.036,0.358
EPIC 201182911,EPIC 201182911.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,1,1,0.99656225,2456811.090000,35.500000,0.0941667,0.5300,,,0.62560,32.800,2.926,,,,,3727.00,,,,0.50,,15.516,17.939,16.341,,16.864,15.697,14.938,,13.238,12.544,12.335,1.598,0.694,0.209,0.903
EPIC 201197348,EPIC 201197348.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,1,0,14.91238100,2456825.111000,0.252000,0.1262500,0.2100,,,0.04445,3.550,0.317,,,,,4224.00,,,,0.65,,15.135,16.819,15.520,,16.227,14.988,14.667,,13.239,12.585,12.424,1.299,0.654,0.161,0.815
EPIC 201197348,EPIC 201197348.01,,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,CANDIDATE,,1,1,14.91390000,2456825.110800,0.240000,0.1360000,,,32.600000,0.04600,3.240,0.289,,,,,,,,,0.65,,15.135,16.819,15.520,,16.227,14.988,14.667,,13.239,12.585,12.424,1.299,0.654,0.161,0.815
EPIC 201205469,EPIC 201205469.01,K2-43 b,CONFIRMED,<a refstr=DRESSING_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..207D/abstract target=ref>Dressing et al. 2017</a>,CONFIRMED,,1,0,3.47134000,2456809.881000,,,,88.880,13.510000,0.07400,4.760,0.425,,3.600000e-08,,,,,,,,,14.887,17.254,15.596,,16.504,15.037,14.194,,12.422,11.712,11.577,1.658,0.710,0.135,0.845
EPIC 201205469,EPIC 201205469.01,K2-43 b,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,CONFIRMED,,1,1,3.47113600,2456813.356300,0.665000,0.0852000,,,12.800000,0.07750,5.160,0.460,,,,,,,,,0.61,,14.887,17.254,15.596,,16.504,15.037,14.194,,12.422,11.712,11.577,1.658,0.710,0.135,0.845
EPIC 201205469,EPIC 201205469.01,K2-43 b,CONFIRMED,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,CONFIRMED,,1,0,3.47114000,2456809.884500,,0.0821000,,,,0.06600,4.130,0.368,,9.700000e-10,,,3939.00,4.70,,,0.57,,14.887,17.254,15.596,,16.504,15.037,14.194,,12.422,11.712,11.577,1.658,0.710,0.135,0.845
EPIC 201205469,EPIC 201205469.01,K2-43 b,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,CONFIRMED,,1,0,3.47128500,2456813.353000,0.638000,0.0891667,0.6900,,,0.07773,4.370,0.390,,,,,3720.00,,,,0.50,,14.887,17.254,15.596,,16.504,15.037,14.194,,12.422,11.712,11.577,1.658,0.710,0.135,0.845
EPIC 201205469,EPIC 201205469.02,K2-43 c,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,CONFIRMED,,1,1,2.19945000,2456810.394300,0.163000,0.0600000,,,10.400000,0.03910,2.600,0.230,,,,,,,,,0.61,,14.887,17.254,15.596,,16.504,15.037,14.194,,12.422,11.712,11.577,1.658,0.710,0.135,0.845
EPIC 201208431,EPIC 201208431.01,K2-4 b,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,CONFIRMED,,1,1,10.00510000,2456815.515700,0.148200,0.1218000,,,24.600000,0.03680,2.290,0.204,,,,,,,,,0.57,,14.409,16.229,14.907,,15.601,14.298,13.898,,12.367,11.747,11.571,1.322,0.620,0.176,0.796
EPIC 201208431,EPIC 201208431.01,K2-4 b,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,CONFIRMED,,1,0,10.00361000,2456815.524000,0.146000,0.1200000,0.4100,,,0.03485,2.570,0.229,,,,,4077.00,,,,0.62,,14.409,16.229,14.907,,15.601,14.298,13.898,,12.367,11.747,11.571,1.322,0.620,0.176,0.796
EPIC 201208431,EPIC 201208431.01,K2-4 b,CONFIRMED,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,CONFIRMED,,1,0,10.00440000,2456815.517000,,0.1196000,,,,0.03490,1.690,0.151,,2.800000e-04,,,4044.00,4.85,,,0.43,,14.409,16.229,14.907,,15.601,14.298,13.898,,12.367,11.747,11.571,1.322,0.620,0.176,0.796
EPIC 201208431,EPIC 201208431.01,K2-4 b,CONFIRMED,<a refstr=DRESSING_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..207D/abstract target=ref>Dressing et al. 2017</a>,CONFIRMED,,1,0,10.00339000,2456815.524000,,,,89.510,27.720000,0.03400,2.100,0.187,,3.700000e-07,,,,,,,,,14.409,16.229,14.907,,15.601,14.298,13.898,,12.367,11.747,11.571,1.322,0.620,0.176,0.796
EPIC 201208431,EPIC 201208431.01,K2-4 b,CONFIRMED,<a refstr=MONTET_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...809...25M/abstract target=ref>Montet et al. 2015</a>,CONFIRMED,,1,0,10.00329000,2456815.521200,,,,,27.790000,,2.370,0.211,563,8.100000e-04,,218.00,4197.00,,-0.120,[Fe/H],0.60,,14.409,16.229,14.907,,15.601,14.298,13.898,,12.367,11.747,11.571,1.322,0.620,0.176,0.796
EPIC 201208431,EPIC 201208431.01,K2-4 b,CANDIDATE,<a refstr=BARROS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...594A.100B/abstract target=ref>Barros et al. 2016</a>,CONFIRMED,,1,0,10.00617969,2456815.513027,0.130000,0.1265000,,,,,,,,,,,,,,,,,14.409,16.229,14.907,,15.601,14.298,13.898,,12.367,11.747,11.571,1.322,0.620,0.176,0.796
EPIC 201211526,EPIC 201211526.01,K2-244 b,CONFIRMED,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,CONFIRMED,,10,1,21.06884000,2457588.474900,0.030000,0.1625000,0.4400,,38.300000,0.01740,1.750,0.156,638,,,,,,,,,,11.696,12.201,11.780,,12.024,11.663,11.556,,10.555,10.235,10.163,0.421,0.320,0.072,0.392
EPIC 201211526,EPIC 201211526.01,K2-244 b,CANDIDATE,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,CONFIRMED,,10,0,21.07020100,2457588.478000,,,,89.214,34.288349,0.01698,1.650,0.150,,2.100000e-03,,,5728.00,4.51,-0.200,[Fe/H],0.89,,11.696,12.201,11.780,,12.024,11.663,11.556,,10.555,10.235,10.163,0.421,0.320,0.072,0.392
EPIC 201225286,EPIC 201225286.01,K2-159 b,CONFIRMED,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,CONFIRMED,,10,1,12.42205000,2457586.508200,0.065000,0.1375000,0.4400,,27.900000,0.02500,2.260,0.202,684,,,,,,,,,,11.729,12.570,11.994,,12.149,11.657,11.549,,10.462,10.072,9.978,0.576,0.390,0.094,0.484
EPIC 201225286,EPIC 201225286.01,K2-159 b,CONFIRMED,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,CONFIRMED,,10,0,12.42107800,2457586.514670,,,,89.065,26.135513,0.02439,2.208,0.200,,3.530000e-04,,,5419.00,4.57,-0.100,[Fe/H],0.83,,11.729,12.570,11.994,,12.149,11.657,11.549,,10.462,10.072,9.978,0.576,0.390,0.094,0.484
EPIC 201227197,EPIC 201227197.01,K2-160 b,CONFIRMED,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,CONFIRMED,,10,1,3.70587100,2457585.666380,,,,88.254,14.684713,0.03189,3.178,0.280,,7.540000e-04,,,5649.00,4.61,0.070,[Fe/H],0.91,,12.486,13.303,12.649,,12.909,12.468,12.304,,11.427,11.087,11.037,0.654,0.340,0.050,0.390
